player_name,player_height,pts,reb,ast,label
Dennis Rodman,198.12,5.7,16.1,3.1,2
Dwayne Schintzius,215.9,2.3,1.5,0.3,0
Earl Cureton,205.74,0.8,1.0,0.4,0
Ed O'Bannon,203.2,3.7,2.3,0.6,0
Ed Pinckney,205.74,2.4,2.4,0.2,0
Eddie Johnson,200.66,8.2,2.7,1.0,3
Eddie Jones,198.12,17.2,4.1,3.4,4
Elden Campbell,213.36,14.9,8.0,1.6,2
Eldridge Recasner,193.04,5.7,1.6,1.3,1
Elliot Perry,182.88,6.9,1.5,3.0,1
Elmer Bennett,182.88,2.4,0.4,1.2,1
Elmore Spencer,213.36,0.0,0.0,0.0,0
Emanual Davis,195.58,5.0,1.7,2.0,1
Ennis Whatley,190.5,1.3,1.0,1.0,1
Eric Leckner,210.82,1.7,1.8,0.3,0
Eric Mobley,210.82,2.6,2.1,0.5,0
Eric Montross,213.36,4.4,6.6,0.8,3
Eric Murdock,185.42,3.8,0.9,2.0,1
Eric Piatkowski,200.66,6.0,1.6,0.8,0
Eric Snow,190.5,3.0,1.0,2.4,1
Eric Williams,203.2,15.0,4.6,1.8,3
Erick Dampier,210.82,5.1,4.1,0.6,3
Erick Strickland,190.5,10.6,3.2,2.4,1
Ervin Johnson,210.82,7.1,11.1,0.9,2
Duane Ferrell,200.66,6.4,2.3,1.1,0
Duane Causwell,213.36,2.6,2.8,0.4,0
Doug West,198.12,7.8,2.2,1.7,1
Doug Overton,190.5,3.6,1.1,1.7,1
Dell Demps,190.5,1.0,0.0,0.0,0
Dennis Scott,203.2,12.5,3.1,2.1,3
Derek Fisher,185.42,3.9,1.2,1.5,1
Derek Harper,193.04,10.0,1.8,4.3,1
Derek Strong,205.74,8.5,6.3,0.9,3
Derrick Alston,210.82,0.0,2.0,0.0,0
Derrick Coleman,208.28,18.1,10.1,3.4,2
Derrick McKey,205.74,8.0,4.8,2.7,3
Detlef Schrempf,208.28,16.8,6.5,4.4,2
Devin Gray,200.66,3.0,2.3,0.3,0
Dexter Boney,193.04,2.4,0.8,0.0,0
Evric Gray,200.66,2.6,0.6,0.4,0
Dickey Simpkins,205.74,1.9,1.9,0.6,0
Dino Radja,210.82,14.0,8.4,1.9,2
Dominique Wilkins,203.2,18.2,6.4,1.9,2
Don MacLean,208.28,10.9,3.8,1.0,3
Don Reid,203.2,2.8,2.1,0.3,0
Donald Royal,203.2,3.5,2.5,0.4,0
Donald Whiteside,177.8,2.2,0.4,1.3,1
Donnie Boyce,195.58,2.5,0.7,0.6,0
Donny Marshall,200.66,3.1,1.3,0.4,0
Dontonio Wingfield,203.2,4.5,2.9,1.0,0
Donyell Marshall,205.74,7.3,4.5,0.9,3
Doug Christie,198.12,14.5,5.3,3.9,4
Dikembe Mutombo,218.44,13.3,11.6,1.4,2
Dell Curry,195.58,14.8,3.1,1.7,3
Felton Spencer,213.36,5.1,5.7,0.3,3
Frankie King,185.42,2.9,2.0,0.7,1
Horacio Llamas,210.82,1.7,0.9,0.2,0
Hot Rod Williams,210.82,8.0,8.3,1.5,3
Howard Eisley,187.96,4.5,1.0,2.4,1
Hubert Davis,195.58,5.0,1.1,0.9,1
Ike Austin,208.28,9.7,5.8,1.2,3
Isaiah Rider,195.58,16.1,4.0,2.6,4
Ivano Newbill,208.28,1.4,2.8,0.3,0
Jack Haley,208.28,2.0,1.6,0.3,0
